epoch	method	glm	Hem	roi	weight	noise	weight_sum	BF	component	participant_id	cluster
plan	ols	12	L	PMv	0.006677610709325654	1.329888344387744	0.050785814859123896	-0.8914324400299304	uncertainty	113	premotor-parietal
plan	ols	12	L	PMv	0.04375517397716638	1.1836932742715238	0.057733996818837736	13.704466675459726	uncertainty	114	premotor-parietal
plan	ols	12	L	PMv	0.003634901211312187	0.7006824548967368	0.021954738399708133	-0.6493260303387005	uncertainty	115	premotor-parietal
plan	ols	12	L	M1	1.9039071650186992e-08	1.4113315175331214	0.018746260451100793	-1.0000020673984162	expectation	102	M1-S1
plan	ols	12	L	M1	0.025996660385985297	1.0567363109790684	0.04319394164899882	4.893077866113114	expectation	103	M1-S1
plan	ols	12	L	M1	4.755740559875103e-12	0.9758935061680754	0.015908501998660264	-0.9999999999769003	expectation	104	M1-S1
plan	ols	12	L	M1	6.875215732304649e-19	0.6478607166480479	0.007130252923940335	-1.000000000002533	expectation	105	M1-S1
plan	ols	12	L	M1	0.005857247316299099	0.9134224984244007	0.005857247316299099	-0.5082901418102693	expectation	106	M1-S1
plan	ols	12	L	M1	1.0182035166927547e-105	1.1266344099843975	5.988444724162736e-11	-0.9999999999980433	expectation	107	M1-S1
plan	ols	12	L	M1	1.3650253419284273e-15	0.961271156792402	0.012653283636594974	-1.0000000000057787	expectation	108	M1-S1
plan	ols	12	L	M1	0.05688161028346957	1.1519064799917536	0.07477349730304178	11.780475121608845	expectation	109	M1-S1
plan	ols	12	L	M1	0.11781936932450413	1.446990747450572	0.11781936941320356	57.48997457464891	expectation	110	M1-S1
plan	ols	12	L	M1	0.03462449540926376	0.8786103011102492	0.045393899609664425	17.218406467101303	expectation	111	M1-S1
plan	ols	12	L	M1	0.02166601855318146	1.2781057798491084	0.050519915919654934	2.319303614008351	expectation	112	M1-S1
plan	ols	12	L	M1	0.06553829791136875	1.3063599611406127	0.06553829791136875	7.69339682284576	expectation	113	M1-S1
plan	ols	12	L	M1	0.130752089810448	1.0562737158130762	0.1754913986904288	113.6358299582024	expectation	114	M1-S1
plan	ols	12	L	M1	0.012195470107202656	0.6786586594391174	0.025885987810566856	2.4561675085700863	expectation	115	M1-S1
plan	ols	12	L	M1	0.018746241412029144	1.4113315175331214	0.018746260451100793	0.25438482600561496	uncertainty	102	M1-S1
plan	ols	12	L	M1	0.017197281263013522	1.0567363109790684	0.04319394164899882	1.7235561712412726	uncertainty	103	M1-S1
plan	ols	12	L	M1	0.015908501993904523	0.9758935061680754	0.015908501998660264	2.2786851576270513	uncertainty	104	M1-S1
plan	ols	12	L	M1	0.007130252923940334	0.6478607166480479	0.007130252923940335	0.43684783734219135	uncertainty	105	M1-S1
plan	ols	12	L	M1	4.954830040766382e-34	0.9134224984244007	0.005857247316299099	-1.0000000000018279	uncertainty	106	M1-S1
plan	ols	12	L	M1	5.988444724162736e-11	1.1266344099843975	5.988444724162736e-11	-1.0000000000016813	uncertainty	107	M1-S1
plan	ols	12	L	M1	0.012653283636593609	0.961271156792402	0.012653283636594974	0.5278850793720335	uncertainty	108	M1-S1
plan	ols	12	L	M1	0.017891887019572214	1.1519064799917536	0.07477349730304178	0.4696146315662826	uncertainty	109	M1-S1
plan	ols	12	L	M1	8.869944006293862e-11	1.446990747450572	0.11781936941320356	-0.999999999996362	uncertainty	110	M1-S1
plan	ols	12	L	M1	0.010769404200400666	0.8786103011102492	0.045393899609664425	1.0677687752043756	uncertainty	111	M1-S1
plan	ols	12	L	M1	0.028853897366473473	1.2781057798491084	0.050519915919654934	4.674850661508824	uncertainty	112	M1-S1
