con	condition	sn	roi	Hem	epoch
0.5519595074019749	100-0%	104	V1	L	plan
2.6051480353481105	0-100%,ring	104	V1	L	exec
2.9544961243369725	25-75%,index	104	V1	L	exec
3.2856970745940797	50-50%,index	104	V1	L	exec
3.2600716555759415	75-25%,index	104	V1	L	exec
2.781305547897946	25-75%,ring	104	V1	L	exec
0.5585231274815796	50-50%,ring	104	V1	L	exec
3.9512989342655476	75-25%,ring	104	V1	L	exec
3.351394419074335	100-0%,index	104	V1	L	exec
6.2462356435875535	0-100%	104	SMA	R	plan
5.9456822018801985	25-75%	104	SMA	R	plan
5.936086807681972	50-50%	104	SMA	R	plan
6.201282715188184	75-25%	104	SMA	R	plan
6.621700132779208	100-0%	104	SMA	R	plan
3.08226944090695	0-100%,ring	104	SMA	R	exec
2.590511882678321	25-75%,index	104	SMA	R	exec
0.08370467510410688	50-50%,index	104	SMA	R	exec
2.901610887550568	75-25%,index	104	SMA	R	exec
2.8024466597992514	25-75%,ring	104	SMA	R	exec
2.345572342119542	50-50%,ring	104	SMA	R	exec
0.20304858695906458	75-25%,ring	104	SMA	R	exec
0.77906337837016	100-0%,index	104	SMA	R	exec
1.705096891150036	0-100%	104	PMd	R	plan
